id,supplier,parentSupplier,zone,country,category,kpiApplicability,poValue,invoiceValue,divergencePct,year,month
pd-20098,ColdFIX Solutions Ltd,,EUR,United Kingdom,BEER DISPENSE MATERIALS,Applicable,17888.00,17888.00,0.000000,2026,3
pd-20099,Comid Engineering Ltd,COMID ENGINEERING LIMITED,EUR,United Kingdom,MAINTENANCE,Applicable,2929.39,2929.39,0.000000,2026,3
pd-20100,Consorzio Nazionale Imballaggi,CONSORZIO NAZIONALE IMBALLAGGI IN BREVE CONAI,EUR,Italy,TRAVEL,Applicable,701.39,701.39,0.000000,2026,3
pd-20101,ContractPod Technologies Limited,,EUR,TRE,LEGAL,Applicable,11660.00,10140.93,0.130280,2026,3
pd-20102,ContractPod Technologies Limited,,EUR,United Kingdom,LEGAL,Applicable,2500.00,1888.00,0.244800,2026,3
pd-20103,ContractPod Technologies Limited,CONTRACTPOD TECHNOLOGIES LIMITED,EUR,Belgium,LEGAL,Applicable,32820.00,28804.77,0.122341,2026,3
pd-20104,Conveying Systems,Conveying Systems,EUR,Belgium,MAINTENANCE,Applicable,94397.05,94397.05,0.000000,2026,3
pd-20105,Copyshop de Haan,,EUR,The Netherlands,MARKETING,Applicable,540.42,540.42,0.000000,2026,3
pd-20106,Cor Verkolf B.V.,,EUR,The Netherlands,LOGISTICS,Applicable,874.36,874.36,0.000000,2026,3
pd-20107,Cornwallis Ltd,,EUR,United Kingdom,BEER DISPENSE MATERIALS,Applicable,40629.02,40629.02,0.000000,2026,3
pd-20108,Coruscant - Welcome to the Jungle,,EUR,France,PEOPLE,Applicable,10900.00,10900.00,0.000000,2026,3
pd-20109,Coveris Flexibles Deutschland GmbH,,EUR,The Netherlands,LABELS,Applicable,42165.78,42552.22,0.009165,2026,3
pd-20110,Cowling Construction Ltd,,EUR,United Kingdom,MAINTENANCE,Applicable,40547.36,40547.36,0.000000,2026,3
pd-20111,Cowling Construction Ltd,,EUR,United Kingdom,PALLETS,Applicable,12787.76,12787.76,0.000000,2026,3
pd-20112,Cranium,Cranium International Holding,EUR,Belgium,LEGAL,Applicable,50133.20,50133.20,0.000000,2026,3
pd-20113,Crawford Cars Limited,,EUR,United Kingdom,MARKETING,Applicable,1884.02,1884.02,0.000000,2026,3
pd-20114,Creation Live Ltd,,EUR,United Kingdom,MARKETING,Applicable,111798.12,111798.12,0.000000,2026,3
pd-20115,Creattività srl,,EUR,Italy,PEOPLE,Applicable,2900.00,2900.00,0.000000,2026,3
pd-20116,Crisp Malt,"James Richardson & Sons, Limited",EUR,Germany,MALT,Applicable,523871.92,506737.60,0.032707,2026,3
pd-20117,Crisp Malting Group Ltd,"James Richardson & Sons, Limited",EUR,United Kingdom,MALT,Applicable,1058992.13,1201286.89,0.134368,2026,3
pd-20118,Croce Srl,,EUR,Italy,MARKETING,Applicable,4476.00,4476.00,0.000000,2026,3
pd-20119,Crowcon Detection Instruments Ltd,HALMA PUBLIC LIMITED COMPANY,EUR,United Kingdom,SERVICES,Applicable,617.10,617.10,0.000000,2026,3
pd-20120,Crown Packaging Distribution UK LTD,CROWN HOLDINGS,EUR,United Kingdom,CANS,Applicable,1164777.30,1169682.18,0.004211,2026,3
pd-20121,Cubex Centre Prague,,EUR,ZCC-Prague,PEOPLE,Applicable,19666.20,19666.20,0.000000,2026,3
pd-20122,Cup Concept Mehrwegsysteme GmbH,FRIES Management & Investment GmbH,EUR,Germany,BEER DISPENSE MATERIALS,Applicable,406.40,406.40,0.000000,2026,3
pd-20123,Cymru Industrial Supplies,,EUR,United Kingdom,MAINTENANCE,Applicable,1842.84,1842.84,0.000000,2026,3
pd-20124,D P PALS BEHEER BV,,EUR,The Netherlands,MAINTENANCE,Applicable,2085.00,2085.00,0.000000,2026,3
pd-20125,D. CARKADJIJA,D. CARKADJIJA,EUR,Belgium,MAINTENANCE,Applicable,19927.50,19927.50,0.000000,2026,3
pd-20126,D. DIERICKX,Dierickx-Tools,EUR,Belgium,MAINTENANCE,Applicable,15009.00,16833.00,0.121527,2026,3
pd-20127,DAG SRL,,EUR,Italy,TRAVEL,Applicable,32500.00,37500.00,0.153846,2026,3
pd-20128,DAKOSY Datenkommunikationssystem AG,DAKOSY Datenkommunikationssystem AG,EUR,Germany,LOGISTICS,Applicable,740.50,740.50,0.000000,2026,3
pd-20129,"DALLMAYR VENDING AND OFFICE, K.S.",,EUR,ZCC-Prague,PEOPLE,Applicable,125888.90,125888.90,0.000000,2026,3
pd-20130,DANFOSS SA,Bitten og Mads Clausens Fond,EUR,Belgium,MAINTENANCE,Applicable,5798.26,5798.26,0.000000,2026,3
pd-20131,DANONE BELUX,DANONE,EUR,Belgium,CORRUGATED BOARD,Applicable,3780.00,3780.00,0.000000,2026,3
pd-20132,DANONE BELUX,DANONE,EUR,Belgium,FINISHED PRODUCTS,Applicable,6703.89,6703.89,0.000000,2026,3
pd-20133,DARIUS ZETEA TA THE BOATHOUSE,,EUR,United Kingdom,CUSTOMERS,Applicable,1100.00,1100.00,0.000000,2026,3
pd-20134,DARLEY LIMITED,DARLEY 1827 GROUP LIMITED,EUR,United Kingdom,LABELS,Applicable,123037.69,133513.59,0.085144,2026,3
pd-20135,DARLEY LIMITED,DARLEY 1827 GROUP LIMITED,EUR,United Kingdom,MAINTENANCE,Applicable,950.00,950.00,0.000000,2026,3
pd-20136,DAV EQUIPEMENTS,FINANCIERE DAV,EUR,Belgium,BEER DISPENSE MATERIALS,Applicable,14065.00,14065.00,0.000000,2026,3
pd-20137,DAV EQUIPEMENTS,FINANCIERE DAV,EUR,France,CUSTOMERS,Applicable,13240.46,14991.38,0.132240,2026,3
pd-20138,DAV EQUIPEMENTS,FINANCIERE DAV,EUR,France,MARKETING,Applicable,600.00,600.00,0.000000,2026,3
pd-20139,DBH Logistics IT AG,dbh Logistics IT AG,EUR,Germany,LOGISTICS,Applicable,414.25,414.25,0.000000,2026,3
pd-20140,DE HAAS VERHUUR,,EUR,The Netherlands,MARKETING,Applicable,522.80,522.80,0.000000,2026,3
pd-20141,DE MONNIK,,EUR,The Netherlands,FINISHED PRODUCTS,Applicable,30781.32,30781.32,0.000000,2026,3
pd-20142,DE MONNIK,,EUR,The Netherlands,OTHER PACKAGING,Applicable,2700.00,2700.00,0.000000,2026,3
pd-20143,DE MONNIK,,EUR,The Netherlands,PALLETS,Applicable,315.00,315.00,0.000000,2026,3
pd-20144,DE PREE PROJECTS NV,,EUR,The Netherlands,MAINTENANCE,Applicable,9277.11,9277.11,0.000000,2026,3
