id,supplier,parentSupplier,zone,country,category,kpiApplicability,invoiceOnTimeCount,totalPoLines,year,month
iot-20607,BRASSERIE DE LA SENNE,Brasserie de la Senne,EUR,Belgium,KEGS,Applicable,1,1,2026,5
iot-20608,BRASSERIE DE LA SENNE,Brasserie de la Senne,EUR,Belgium,PALLETS,Applicable,1,1,2026,5
iot-20609,BRASSERIE DES LEGENDES,Brasserie des Legendes,EUR,Belgium,FINISHED PRODUCTS,Applicable,2,2,2026,5
iot-20610,BRASSERIE DUBUISSON FRERES,Dubuis - Holding,EUR,Belgium,CORRUGATED BOARD,Applicable,1,1,2026,5
iot-20611,BRASSERIE DUBUISSON FRERES,Dubuis - Holding,EUR,Belgium,FINISHED PRODUCTS,Applicable,2,2,2026,5
iot-20612,BRATZ Schanktechnik Nachfolger UG(h,Bratz Peter,EUR,Germany,BEER DISPENSE MATERIALS,Applicable,2,2,2026,5
iot-20613,BRAUEREI HORNECK GMBH & CO KG,Brauerei Horneck GmbH & Co. KG,EUR,Germany,FINISHED PRODUCTS,Applicable,0,5,2026,5
iot-20614,BRAUEREI HORNECK GMBH & CO KG,Brauerei Horneck GmbH & Co. KG,EUR,Germany,PALLETS,Applicable,4,4,2026,5
iot-20615,BRENNTAG,Brenntag SE,EUR,Belgium,SERVICES,Applicable,1,1,2026,5
iot-20616,"BRICK, realizace interiérů s.r.o.",BRICK HOLDING s.r.o.,EUR,ZCC-Prague,SERVICES,Applicable,1,1,2026,5
iot-20617,BRIGGS OF BURTON Plc,"CIMC Liquid Process Technology Co., Ltd.",EUR,United Kingdom,MAINTENANCE,Applicable,1,14,2026,5
iot-20618,BROES-INGREDIENTS,BROES INGREDIENTS,EUR,Belgium,ADJUNCTS,Applicable,1,1,2026,5
iot-20619,BRONOX,BRONOX,EUR,Belgium,MAINTENANCE,Applicable,4,5,2026,5
iot-20620,BROUWERIJ BOON,Brouwerij Stokerij De Groene Leeuw,EUR,Belgium,FINISHED PRODUCTS,Applicable,5,5,2026,5
iot-20621,BROUWERIJ BOON,Brouwerij Stokerij De Groene Leeuw,EUR,Belgium,PALLETS,Applicable,0,1,2026,5
iot-20622,BROUWERIJ DE BRABANDERE,Théléo,EUR,Belgium,CORRUGATED BOARD,Applicable,1,1,2026,5
iot-20623,BROUWERIJ DE BRABANDERE,Théléo,EUR,Belgium,FINISHED PRODUCTS,Applicable,3,3,2026,5
iot-20624,BROUWERIJ DE BRABANDERE,Théléo,EUR,Belgium,KEGS,Applicable,1,1,2026,5
iot-20625,BROUWERIJ DE BRABANDERE,Théléo,EUR,Belgium,PALLETS,Applicable,5,5,2026,5
iot-20626,BROUWERIJ DE DOOL,De Dool,EUR,Belgium,FINISHED PRODUCTS,Applicable,0,2,2026,5
iot-20627,BROUWERIJ DE HALVE MAAN,H.M. Group,EUR,Belgium,CORRUGATED BOARD,Applicable,5,5,2026,5
iot-20628,BROUWERIJ DE HALVE MAAN,H.M. Group,EUR,Belgium,FINISHED PRODUCTS,Applicable,12,15,2026,5
iot-20629,BROUWERIJ DE HALVE MAAN,H.M. Group,EUR,Belgium,KEGS,Applicable,4,4,2026,5
iot-20630,BROUWERIJ DE HALVE MAAN,H.M. Group,EUR,Belgium,PALLETS,Applicable,8,8,2026,5
iot-20631,BROUWERIJ OMER VANDER GHINSTE,Panta,EUR,Belgium,CORRUGATED BOARD,Applicable,4,4,2026,5
iot-20632,BROUWERIJ OMER VANDER GHINSTE,Panta,EUR,Belgium,CUSTOMERS,Applicable,1,1,2026,5
iot-20633,BROUWERIJ OMER VANDER GHINSTE,Panta,EUR,Belgium,FINISHED PRODUCTS,Applicable,17,19,2026,5
iot-20634,BROUWERIJ OMER VANDER GHINSTE,Panta,EUR,Belgium,KEGS,Applicable,1,1,2026,5
iot-20635,BROUWERIJ OMER VANDER GHINSTE,Panta,EUR,Belgium,MAINTENANCE,Applicable,1,1,2026,5
iot-20636,BROUWERIJ OMER VANDER GHINSTE,Panta,EUR,Belgium,PALLETS,Applicable,6,7,2026,5
iot-20637,BROUWERIJ ROMAN,Cobrero,EUR,Belgium,CORRUGATED BOARD,Applicable,1,1,2026,5
iot-20638,BROUWERIJ ROMAN,Cobrero,EUR,Belgium,FINISHED PRODUCTS,Applicable,2,2,2026,5
iot-20639,BROUWERIJ ROMAN,Cobrero,EUR,Belgium,PALLETS,Applicable,2,2,2026,5
iot-20640,BROUWERIJ ST. BERNARD,Garnsey,EUR,Belgium,CORRUGATED BOARD,Applicable,1,1,2026,5
iot-20641,BROUWERIJ ST. BERNARD,Garnsey,EUR,Belgium,FINISHED PRODUCTS,Applicable,3,3,2026,5
iot-20642,BROUWERIJ ST. BERNARD,Garnsey,EUR,Belgium,KEGS,Applicable,1,1,2026,5
iot-20643,BROUWERIJ ST. BERNARD,Garnsey,EUR,Belgium,PALLETS,Applicable,2,2,2026,5
iot-20644,BROUWERIJ VAN HONSEBROUCK,Xavest,EUR,Belgium,CORRUGATED BOARD,Applicable,6,6,2026,5
iot-20645,BROUWERIJ VAN HONSEBROUCK,Xavest,EUR,Belgium,FINISHED PRODUCTS,Applicable,46,46,2026,5
iot-20646,BROUWERIJ VAN HONSEBROUCK,Xavest,EUR,Belgium,KEGS,Applicable,2,2,2026,5
iot-20647,BROUWERIJ VAN HONSEBROUCK,Xavest,EUR,Belgium,PALLETS,Applicable,9,9,2026,5
iot-20648,BROUWERIJ VAN STEENBERGE,Brouwerij Van Steenberge,EUR,Belgium,CORRUGATED BOARD,Applicable,1,1,2026,5
iot-20649,BROUWERIJ VAN STEENBERGE,Brouwerij Van Steenberge,EUR,Belgium,FINISHED PRODUCTS,Applicable,0,3,2026,5
iot-20650,BTC EUROPE,BASF SE,EUR,Belgium,OTHER AUXILIARIES,Applicable,1,1,2026,5
iot-20651,BUCHRNHORNEN,Buchrnhornen B.V.,EUR,The Netherlands,LOGISTICS,Applicable,0,1,2026,5
iot-20652,BUHLER GmbH,Bühler Holding AG,EUR,Belgium,MAINTENANCE,Applicable,0,1,2026,5
iot-20653,BUHLER GmbH,Bühler Holding AG,EUR,Germany,MAINTENANCE,Applicable,8,8,2026,5
iot-20654,BUISSET HIGH TECH,BUISSET,EUR,Belgium,MAINTENANCE,Applicable,1,1,2026,5
iot-20655,BUMACO,BUMACO,EUR,Belgium,MAINTENANCE,Applicable,0,1,2026,5
iot-20656,Ball Beverage Packaging,Ball,EUR,Belgium,CANS,Applicable,7,7,2026,5
iot-20657,Ball Beverage Packaging,Ball,EUR,Belgium,MAINTENANCE,Applicable,1,1,2026,5
iot-20658,Ball Beverage Packaging,Ball,EUR,Belgium,OTHER PACKAGING,Applicable,1,1,2026,5
iot-20659,Ball Beverage Packaging Europe,Ball,EUR,United Kingdom,CANS,Applicable,240,296,2026,5
iot-20660,Ball Beverage Packaging Europe,Ball,EUR,United Kingdom,OTHER PACKAGING,Applicable,2,2,2026,5
iot-20661,Ball Packaging Europe GMBH,Ball,EUR,Germany,CANS,Applicable,10,10,2026,5
iot-20662,Ball Packaging Europe GMBH,Ball,EUR,Germany,OTHER PACKAGING,Applicable,2,2,2026,5
iot-20663,Bamberger Mälzerei Beteiligungs Gmb,Bamberger Mälzerei GmbH,EUR,Germany,MALT,Applicable,31,37,2026,5
iot-20664,BarthHaas GmbH,BarthHaas GmbH & Co. KG,EUR,United Kingdom,HOPS,Applicable,1,1,2026,5
iot-20665,BarthHaas GmbH,BarthHaas GmbH & Co. KG,EUR,United Kingdom,OTHER RAW MATERIALS,Applicable,1,1,2026,5
iot-20666,Basware NV,Topaz MidCo Oy,EUR,Belgium,TECHNOLOGY,Applicable,1,1,2026,5
iot-20667,Batenburg Bellt N.V.,Silver Holding B.V.,EUR,Belgium,MAINTENANCE,Applicable,1,1,2026,5
iot-20668,Battaglino Customs Services Srl,Rethmann SE & Co. KG,EUR,Italy,FEES,Applicable,1,1,2026,5
iot-20669,BeMyEye UK Limited,BEMYEYE HOLDINGS LIMITED,EUR,United Kingdom,MARKETING,Applicable,1,1,2026,5
iot-20670,Bechtle Direct Ltd.,BECHTLE,EUR,United Kingdom,TECHNOLOGY,Applicable,6,6,2026,5
iot-20671,Bechtle GmbH,Bechtle Aktiengesellschaft,EUR,Germany,TECHNOLOGY,Applicable,3,3,2026,5
iot-20672,Bechtle direct s.r.o.,BECHTLE,EUR,ZCC-Prague,TECHNOLOGY,Applicable,7,7,2026,5
iot-20673,Benefex Financial Solutions Ltd,Zorro Topco Limited,EUR,United Kingdom,PEOPLE,Applicable,2,2,2026,5
iot-20674,Benelux Sign Systems,Benelux Sign Group B.V.,EUR,The Netherlands,BEER DISPENSE MATERIALS,Applicable,32,32,2026,5
iot-20675,Benelux Sign Systems,Benelux Sign Group B.V.,EUR,The Netherlands,MAINTENANCE,Applicable,31,31,2026,5
iot-20676,Benelux Sign Systems,Benelux Sign Group B.V.,EUR,The Netherlands,SALES,Applicable,58,58,2026,5
iot-20677,Benepack,HUARUIFENGQUAN Packaging Holdings Limited,EUR,Belgium,CANS,Applicable,42,50,2026,5
iot-20678,Benway Solutions GmbH,Topp Holdings AG,EUR,Germany,LEASES AND RENTALS,Applicable,16,16,2026,5
iot-20679,Benway Solutions GmbH,Topp Holdings AG,EUR,Germany,LOGISTICS,Applicable,3,3,2026,5
iot-20680,Benway Solutions GmbH,Topp Holdings AG,EUR,Germany,MARKETING,Applicable,2,2,2026,5
iot-20681,Benway Solutions GmbH,Topp Holdings AG,EUR,Germany,SALES,Applicable,2,2,2026,5
iot-20682,Berenschot Belgium,BERENSCHOT,EUR,Belgium,PEOPLE,Applicable,1,1,2026,5
iot-20683,BeviClean GmbH,BevTec GmbH & Co KG,EUR,Germany,BEER DISPENSE MATERIALS,Applicable,55,57,2026,5
iot-20684,BeviClean GmbH,BevTec GmbH & Co KG,EUR,Germany,MAINTENANCE,Applicable,6,6,2026,5
iot-20685,BeviClean GmbH,BevTec GmbH & Co KG,EUR,Germany,SALES,Applicable,1,1,2026,5
iot-20686,Biffa Waste Services,"ECP Bears Holdings, LP",EUR,United Kingdom,CO-PRODUCTS,Applicable,4,5,2026,5
iot-20687,Bird & Bird Società tra Avvocati S.,BIRD & BIRD SOCIETA' TRA AVVOCATI SRL,EUR,Italy,LEGAL,Applicable,3,3,2026,5
iot-20688,Boai NKY Chemicals,Boai Nky Medical Holdings Ltd.,EUR,The Netherlands,OTHER AUXILIARIES,Applicable,1,1,2026,5
iot-20689,Boai NKY Chemicals,Boai Nky Medical Holdings Ltd.,EUR,United Kingdom,OTHER AUXILIARIES,Applicable,2,2,2026,5
iot-20690,Boortmalt,BOORTMALT,EUR,The Netherlands,MALT,Applicable,3,10,2026,5
iot-20691,Boortmalt NV,BOORTMALT,EUR,Germany,MALT,Applicable,34,90,2026,5
iot-20692,Bordex B.V.,Stichting Administratiekantoor Romath,EUR,Belgium,SALES,Applicable,3,3,2026,5
iot-20693,Bouchons Leclercq & Fils,HOCEDAM,EUR,Belgium,METAL CLOSURES,Applicable,1,1,2026,5
iot-20694,Boxcon,BOXCON,EUR,Belgium,BOTTLES,Applicable,1,1,2026,5
iot-20695,Boxcon,BOXCON,EUR,Belgium,SALES,Applicable,1,1,2026,5
iot-20696,Bozu Beverages,Bozu Holding B.V.,EUR,The Netherlands,FINISHED PRODUCTS,Applicable,12,55,2026,5
iot-20697,Brandbank Ltd.,AI PAVE Dutchco I B.V.,EUR,United Kingdom,MARKETING,Applicable,4,5,2026,5
iot-20698,Brandwise,Promomax B.V.,EUR,The Netherlands,CUSTOMERS,Applicable,1,1,2026,5
iot-20699,Brasserie Lefebvre SA,Hopus Holding,EUR,Belgium,CORRUGATED BOARD,Applicable,1,1,2026,5
iot-20700,Brasserie Lefebvre SA,Hopus Holding,EUR,Belgium,FINISHED PRODUCTS,Applicable,0,1,2026,5
iot-20701,Brasserie St-Feuillien SA,Brasserie St-Feuillien,EUR,Belgium,FINISHED PRODUCTS,Applicable,5,5,2026,5
iot-20702,Brauerei Schimpfle GmbH & Co KG,Brauerei Schimpfle GmbH & Co. KG,EUR,Germany,FINISHED PRODUCTS,Applicable,0,2,2026,5
iot-20703,Brauerei Schimpfle GmbH & Co KG,Brauerei Schimpfle GmbH & Co. KG,EUR,Germany,PALLETS,Applicable,1,3,2026,5
iot-20704,Breemes,STICHTING ADMINISTRATIEKANTOOR ITSME,EUR,Belgium,MAINTENANCE,Applicable,9,10,2026,5
iot-20705,Bremer+Leguil GmbH,FUCHS SE,EUR,Germany,MAINTENANCE,Applicable,4,4,2026,5
iot-20706,Brewfitt Ltd,WEBSTER (HOLDINGS) LIMITED,EUR,United Kingdom,BEER DISPENSE MATERIALS,Applicable,6,7,2026,5
iot-20707,British Beer & Pub Association,BRITISH BEER & PUB ASSOCIATION,EUR,United Kingdom,CUSTOMERS,Applicable,1,1,2026,5
iot-20708,Brouwers Reklame,Jurman B.V.,EUR,The Netherlands,BEER DISPENSE MATERIALS,Applicable,1,1,2026,5
iot-20709,Brouwers Reklame,Jurman B.V.,EUR,The Netherlands,MAINTENANCE,Applicable,18,18,2026,5
iot-20710,Brouwers Reklame,Jurman B.V.,EUR,The Netherlands,SALES,Applicable,34,34,2026,5
iot-20711,Buhler Limited,Bühler Holding AG,EUR,United Kingdom,MAINTENANCE,Applicable,6,7,2026,5
iot-20712,Burkert Benelux BV,Christian und Dorothee Bürkert Stiftung,EUR,Belgium,MAINTENANCE,Applicable,9,11,2026,5
iot-20713,Business Park Contern,Contern S.A.,EUR,Luxembourg,LOGISTICS,Applicable,0,3,2026,5
iot-20714,BÜFA Chemikalien GmbH & Co. KG,BÜFA Beteiligungen GmbH,EUR,Germany,AUXILIARY MATERIALS,Applicable,16,25,2026,5
iot-20715,Bürkert GmbH & Co.KG,Christian und Dorothee Bürkert Stiftung,EUR,Germany,MAINTENANCE,Applicable,5,5,2026,5
iot-20716,C.S.W. Machinery B.V.,Breda Industries B.V.,EUR,Belgium,MAINTENANCE,Applicable,10,18,2026,5
iot-20717,CAB LOG SRL,IMMOBILIARE STELLA SRL,EUR,Italy,LOGISTICS,Applicable,2,21,2026,5
iot-20718,CAB LOG SRL,IMMOBILIARE STELLA SRL,EUR,Italy,TRAVEL,Applicable,1,1,2026,5
iot-20719,CABLING PROJECTS & MAINTENANCE,CABLING PROJECTS EN MAINTENANCE,EUR,Belgium,MAINTENANCE,Applicable,2,2,2026,5
iot-20720,CABLING PROJECTS & MAINTENANCE,CABLING PROJECTS EN MAINTENANCE,EUR,Belgium,TECHNOLOGY,Applicable,1,1,2026,5
iot-20721,CALVATIS GMBH,Calvatis GmbH,EUR,Germany,MAINTENANCE,Applicable,0,1,2026,5
iot-20722,CAMPDEN BRI,CAMPDEN BRI,EUR,United Kingdom,OTHER AUXILIARIES,Applicable,2,2,2026,5
iot-20723,CAMPDEN BRI,CAMPDEN BRI,EUR,United Kingdom,OTHER CONSUMABLES,Applicable,1,1,2026,5
iot-20724,CAMPDEN BRI,CAMPDEN BRI,EUR,United Kingdom,RAW MATERIALS,Applicable,2,2,2026,5
iot-20725,CAMPDEN BRI,CAMPDEN BRI,EUR,United Kingdom,SERVICES,Applicable,1,1,2026,5
iot-20726,CAN PACK,CAN PACK,EUR,United Kingdom,CANS,Applicable,124,134,2026,5
iot-20727,CAN-PACK Netherlands BV,CAN PACK,EUR,Belgium,CANS,Applicable,6,12,2026,5
iot-20728,CAN-PACK Netherlands BV,CAN PACK,EUR,Germany,CANS,Applicable,5,5,2026,5
