id,supplier,parentSupplier,zone,country,category,scorecard_category,kpiApplicability,supplierApprovalStatus,greenCount,yellowCount,redCount,naCount,blankCount,year
sa-538,Brewery Huarochiri,Brewery Huarochiri,MAZ,Peru,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-539,Brewery Hyderabad,Brewery Hyderabad,APAC,India,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-540,Brewery ILC Planta de Refrescos,Brewery ILC Planta de Refrescos,MAZ,El Salvador,Brewery,DIRECT,Applicable,Approved,0,0,0,0,1,2026
sa-541,Brewery Ibhayi,Brewery Ibhayi,AFR,South Africa,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-542,Brewery Icheon,Brewery Icheon,APAC,South Korea,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-543,Brewery Ilesa,Brewery Ilesa,AFR,Nigeria,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-544,Brewery Ind La Constancia Beer,Brewery Ind La Constancia Beer,MAZ,El Salvador,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-545,Brewery Issum,Brewery Issum,EUR,Germany,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-546,Brewery Itapissuma (Pernambuco or Nassau),Brewery Itapissuma (Pernambuco or Nassau),SAZ,Brazil,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-547,Brewery Jacarei,Brewery Jacarei,SAZ,Brazil,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-548,Brewery Jacksonville,Brewery Jacksonville,NAZ,United States,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-549,Brewery Jaguariuna,Brewery Jaguariuna,SAZ,Brazil,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-550,Brewery Jeju,Brewery Jeju,APAC,Republic of Korea,Brewery,DIRECT,Applicable,Approved,0,0,0,0,1,2026
sa-551,Brewery Jiamusi New,Brewery Jiamusi New,APAC,China,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-552,Brewery Jinja,Brewery Jinja,AFR,Tanzania,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-553,Brewery Jinshibai,Brewery Jinshibai,APAC,China,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-554,Brewery Jinzhou,Brewery Jinzhou,APAC,China,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-555,Brewery Jishui,Brewery Jishui,APAC,China,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-556,Brewery Juatuba,Brewery Juatuba,SAZ,Brazil,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-557,Brewery Jundiai,Brewery Jundiai,SAZ,Brazil,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-558,Brewery Jupille,Brewery Jupille,EUR,Belgium,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-559,Brewery Karbach,Brewery Karbach,NAZ,United States,Brewery,DIRECT,Applicable,Approved,0,0,0,0,1,2026
sa-560,Brewery Kgalagadi,Brewery Kgalagadi,AFR,Botswana,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-561,Brewery Kunming,Brewery Kunming,APAC,China,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-562,Brewery La Paz,Brewery La Paz,SAZ,Bolivia,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-563,Brewery Lages (Santa Catarina),Brewery Lages (Santa Catarina),SAZ,Brazil,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
