s_no,mapping_main_category,source_main_category,pillar_name,pillar_id,kpi_display_name,source_kpi_id,mapping_status
61,CAPEX/MRO,Capex MRO,Sustainability,SUSTAINABILITY,Eclipse,eclipse_adherence,CONFIRMED
62,CAPEX/MRO,Capex MRO,Value Creation,VALUE_CREATION,Cost,cost,CONFIRMED
63,CAPEX/MRO,Capex MRO,Value Creation,VALUE_CREATION,Cash,cash_flow,CONFIRMED
64,CAPEX/MRO,Capex MRO,Value Creation,VALUE_CREATION,Engagement,engagement,CONFIRMED
65,CAPEX/MRO,Capex MRO,Service Level,SERVICE_LEVEL,MTF Audit,mtf_audit,CONFIRMED
66,CAPEX/MRO,Capex MRO,Service Level,SERVICE_LEVEL,MTF Leadtime,mtf_leadtime,CONFIRMED
67,CAPEX/MRO,Capex MRO,Service Level,SERVICE_LEVEL,MTF Tickets,mtf_tickets,CONFIRMED
68,CAPEX/MRO,Capex MRO,Service Level,SERVICE_LEVEL,MTF Audit div,mtf_audit_div,CONFIRMED
69,CAPEX/MRO,Capex MRO,Service Level,SERVICE_LEVEL,MTF on time,mtf_on_time,CONFIRMED
,BST,BST,Service Level,SERVICE_LEVEL,Contract Compliance Tech,contract_compliance_tech,CONFIRMED
